,period,value,temperature_2m,hour,day_of_week,month,is_weekend
0,2022-01-01T00:00:00.000Z,18106,11.0585,0,5,1,1
1,2022-01-01T01:00:00.000Z,17574,11.0585,1,5,1,1
2,2022-01-01T02:00:00.000Z,16997,11.0585,2,5,1,1
3,2022-01-01T03:00:00.000Z,16411,11.0585,3,5,1,1
4,2022-01-01T04:00:00.000Z,15762,11.0585,4,5,1,1
5,2022-01-01T05:00:00.000Z,15156,11.0585,5,5,1,1
6,2022-01-01T06:00:00.000Z,14503,11.0585,6,5,1,1
7,2022-01-01T07:00:00.000Z,13924,11.1085005,7,5,1,1
8,2022-01-01T08:00:00.000Z,13477,11.2585,8,5,1,1
9,2022-01-01T09:00:00.000Z,13200,11.3085,9,5,1,1
10,2022-01-01T10:00:00.000Z,13089,11.5085,10,5,1,1
11,2022-01-01T11:00:00.000Z,13188,11.6085005,11,5,1,1
12,2022-01-01T12:00:00.000Z,13495,11.8585005,12,5,1,1
13,2022-01-01T13:00:00.000Z,13824,12.1085005,13,5,1,1
14,2022-01-01T14:00:00.000Z,14211,12.0585,14,5,1,1
15,2022-01-01T15:00:00.000Z,14768,11.3085,15,5,1,1
16,2022-01-01T16:00:00.000Z,15331,10.6085005,16,5,1,1
17,2022-01-01T17:00:00.000Z,15717,10.2585,17,5,1,1
18,2022-01-01T18:00:00.000Z,15992,9.8085,18,5,1,1
19,2022-01-01T19:00:00.000Z,16079,9.908501,19,5,1,1
20,2022-01-01T20:00:00.000Z,16051,9.408501,20,5,1,1
21,2022-01-01T21:00:00.000Z,16221,9.158501,21,5,1,1
22,2022-01-01T22:00:00.000Z,16836,8.7585,22,5,1,1
23,2022-01-01T23:00:00.000Z,17483,8.4585,23,5,1,1
24,2022-01-02T00:00:00.000Z,34720,9.2085,0,6,1,1
25,2022-01-02T01:00:00.000Z,17016,8.5085,1,6,1,1
26,2022-01-02T02:00:00.000Z,16644,8.158501,2,6,1,1
27,2022-01-02T03:00:00.000Z,16149,7.8585,3,6,1,1
28,2022-01-02T04:00:00.000Z,15514,7.8085,4,6,1,1
29,2022-01-02T05:00:00.000Z,14747,8.0085,5,6,1,1
30,2022-01-02T06:00:00.000Z,14087,7.7085,6,6,1,1
31,2022-01-02T07:00:00.000Z,13603,8.0585,7,6,1,1
32,2022-01-02T08:00:00.000Z,13315,9.0585,8,6,1,1
